,precision,recall,f1-score,support
0,0.8811326967402041,0.9671123960968558,0.9221226740179187,2767.0
1,0.510752688172043,0.20833333333333334,0.29595015576323985,456.0
accuracy,0.8597579894508223,0.8597579894508223,0.8597579894508223,0.8597579894508223
macro avg,0.6959426924561236,0.5877228647150946,0.6090364148905792,3223.0
weighted avg,0.8287301885468806,0.8597579894508223,0.8335298510814826,3223.0
