,precision,recall,f1-score,support
0,0.9963976945244957,0.9996385977593061,0.9980155150640447,2767.0
1,0.9977628635346756,0.9780701754385965,0.9878183831672204,456.0
accuracy,0.9965870307167235,0.9965870307167235,0.9965870307167235,0.9965870307167235
macro avg,0.9970802790295856,0.9888543865989513,0.9929169491156326,3223.0
weighted avg,0.996590842854822,0.9965870307167235,0.9965727933312021,3223.0
